;dt_1;dt_2;dt_3;dt_4;dt_4_2;dt_4_3;dt_5;dt_6;dt_7;dt_7_2;dt_8;dt_9;dt_9_2;dt_9_3;dt_10;dt_11;flag_1;flag_2;flag_3;flag_4;flag_5;flag_6;flag_7;flag_8;flag_9;flag_10;flag_11;flag_12;flag_13;flag_14;flag_15;flag_16;flag_17;flag_18;flag_19;flag_20;flag_21;label_flag
dt_1;1.000000;-0.141513;-0.076059;-0.023163;-0.040089;-0.010391;0.099703;-0.070019;0.164864;0.020144;0.016760;0.061544;-0.004953;-0.007923;0.004629;0.001238;0.040488;0.084637;0.097015;0.028809;-0.121017;0.043415;-0.027253;-0.049188;-0.004087;0.100827;-0.003335;0.001041;0.045621;0.032668;0.001464;-0.000585;-0.000166;0.007855;-0.000079;-0.007396;-0.054327;0.542055
dt_2;-0.141513;1.000000;-0.041435;-0.156318;-0.065979;-0.033288;-0.129938;-0.089408;-0.177628;-0.032027;-0.039501;-0.176835;-0.083395;-0.031957;-0.013523;-0.002560;-0.101633;0.010292;0.038606;-0.011000;0.413724;0.023848;-0.016792;-0.016064;-0.002212;-0.062588;-0.028585;-0.000818;-0.035498;-0.019132;-0.011379;-0.002620;-0.002869;-0.049508;-0.001715;-0.073598;-0.066130;0.035392
dt_3;-0.076059;-0.041435;1.000000;-0.037701;-0.019287;-0.010396;-0.033104;0.001981;-0.042028;-0.006666;-0.008352;-0.040615;-0.019838;-0.008195;-0.003605;-0.000984;0.004414;0.003221;0.011146;0.002675;0.118576;0.010309;0.012426;-0.003996;-0.000514;-0.012326;-0.001797;-0.000539;-0.006660;-0.004208;-0.002775;-0.000845;-0.000891;-0.007506;-0.000630;0.004438;0.004721;-0.031495
dt_4;-0.023163;-0.156318;-0.037701;1.000000;0.254861;0.093470;0.039998;-0.087374;-0.049148;-0.001022;-0.004427;-0.072626;-0.039987;-0.017430;0.010618;-0.001439;-0.069354;0.018616;0.009569;-0.105365;-0.121244;-0.004864;-0.025602;0.018348;-0.000247;0.005425;0.000398;0.000688;-0.013349;0.009434;-0.007606;0.005460;0.006030;0.002421;0.000275;-0.051949;-0.067920;0.060018
dt_4_2;-0.040089;-0.065979;-0.019287;0.254861;1.000000;0.377702;0.013633;-0.021649;-0.007732;-0.000109;-0.002478;-0.023448;-0.010126;-0.005393;0.006794;0.000877;-0.037830;0.004646;0.011230;-0.061894;-0.056664;-0.013956;-0.013919;0.000176;-0.001282;0.006290;0.001339;0.000530;-0.008536;0.007913;-0.003496;0.004813;0.004344;0.000584;-0.001570;-0.021105;-0.020632;0.032100
dt_4_3;-0.010391;-0.033288;-0.010396;0.093470;0.377702;1.000000;0.007463;-0.008628;-0.002473;0.002792;0.001473;-0.007576;-0.003606;0.000053;0.005701;-0.001111;-0.004386;0.003716;0.006578;-0.027964;-0.031544;-0.006809;-0.005922;-0.001663;-0.000580;0.001289;0.000867;-0.000609;-0.006709;0.004754;-0.000306;0.005649;0.005259;-0.001799;-0.000711;-0.008782;-0.008746;0.017910
dt_5;0.099703;-0.129938;-0.033104;0.039998;0.013633;0.007463;1.000000;-0.013948;0.080605;0.022376;0.023462;0.048724;0.036374;0.019353;0.005826;0.000894;0.297087;0.021516;0.029146;0.160995;-0.016864;-0.002804;-0.004047;0.002615;-0.001635;0.083928;0.042209;-0.000587;0.035753;0.017320;0.004944;0.001885;0.001367;0.054440;0.001945;-0.007311;-0.008104;-0.032377
dt_6;-0.070019;-0.089408;0.001981;-0.087374;-0.021649;-0.008628;-0.013948;1.000000;0.223250;0.010446;0.007991;-0.071171;-0.029151;-0.007483;-0.003038;-0.002635;0.050824;-0.001027;0.027301;0.043362;-0.053668;0.013929;0.022473;-0.018645;-0.000859;0.210499;0.004147;-0.002822;0.100033;0.066348;0.007962;0.004050;0.004097;0.058285;0.003459;0.038268;0.628492;-0.523003
dt_7;0.164864;-0.177628;-0.042028;-0.049148;-0.007732;-0.002473;0.080605;0.223250;1.000000;0.150303;0.185624;0.418666;0.186513;0.062846;0.011658;0.003946;0.038290;-0.021367;0.003999;0.088177;-0.086664;0.004258;0.021166;-0.015421;-0.002354;0.204912;0.036395;0.003720;0.089287;0.069248;0.006711;0.001069;0.001365;0.079959;0.002995;-0.085193;0.138061;-0.237130
dt_7_2;0.020144;-0.032027;-0.006666;-0.001022;-0.000109;0.002792;0.022376;0.010446;0.150303;1.000000;0.769608;0.113026;0.106109;0.065979;0.004103;0.001745;0.019562;-0.010251;0.001222;0.018078;-0.001198;0.002192;0.002080;-0.003069;-0.000395;0.016065;0.039957;0.005648;0.007730;0.000070;0.009410;-0.000649;-0.000684;0.033907;0.009228;-0.000016;0.011710;-0.011199
dt_8;0.016760;-0.039501;-0.008352;-0.004427;-0.002478;0.001473;0.023462;0.007991;0.185624;0.769608;1.000000;0.155927;0.105906;0.059339;0.004746;0.003504;0.027138;-0.009933;0.004011;0.023598;-0.001450;0.004665;0.004550;-0.003863;-0.000497;0.012356;0.039380;0.004195;0.008358;0.002848;0.008997;-0.000817;-0.000861;0.034089;0.006923;0.027936;0.018809;-0.004334
dt_9;0.061544;-0.176835;-0.040615;-0.072626;-0.023448;-0.007576;0.048724;-0.071171;0.418666;0.113026;0.155927;1.000000;0.417292;0.146631;0.017355;0.001946;0.043183;-0.046490;-0.021297;0.055956;-0.061743;-0.002950;0.039360;-0.014268;-0.002236;-0.020698;0.108744;0.001367;0.007382;-0.008299;0.033631;-0.000994;-0.000524;0.079540;0.005191;0.205413;-0.023007;0.137053
dt_9_2;-0.004953;-0.083395;-0.019838;-0.039987;-0.010126;-0.003606;0.036374;-0.029151;0.186513;0.106109;0.105906;0.417292;1.000000;0.350262;0.014466;0.001451;0.037215;-0.072198;-0.004416;0.034468;0.004523;0.000354;0.027772;-0.006420;-0.001026;0.017229;0.235550;-0.001076;0.004215;0.001516;0.063876;-0.001687;-0.000160;0.161041;0.002801;0.130245;-0.002833;0.040697
dt_9_3;-0.007923;-0.031957;-0.008195;-0.017430;-0.005393;0.000053;0.019353;-0.007483;0.062846;0.065979;0.059339;0.146631;0.350262;1.000000;0.007608;-0.000756;0.022093;-0.021367;-0.001285;0.016243;0.036096;0.002115;0.014756;-0.002248;-0.000395;0.042801;0.486051;-0.000414;0.025652;0.011208;0.118274;-0.000649;-0.000684;0.334111;0.004593;0.074517;0.006125;0.004367
dt_10;0.004629;-0.013523;-0.003605;0.010618;0.006794;0.005701;0.005826;-0.003038;0.011658;0.004103;0.004746;0.017355;0.014466;0.007608;1.000000;0.012069;0.004364;-0.000395;-0.001962;0.004210;-0.012000;-0.001229;-0.001849;-0.001350;-0.000174;-0.000148;0.006289;-0.000182;0.000993;0.000615;-0.000937;-0.000285;-0.000301;0.004112;-0.000213;0.001410;-0.003296;0.001964
dt_11;0.001238;-0.002560;-0.000984;-0.001439;0.000877;-0.001111;0.000894;-0.002635;0.003946;0.001745;0.003504;0.001946;0.001451;-0.000756;0.012069;1.000000;0.001655;0.000357;0.001068;0.002905;0.001317;-0.003722;0.000749;-0.000369;-0.000047;-0.001883;-0.001151;-0.000050;-0.001004;-0.000652;-0.000256;-0.000078;-0.000082;-0.001669;-0.000058;0.011214;-0.000659;0.002065
flag_1;0.040488;-0.101633;0.004414;-0.069354;-0.037830;-0.004386;0.297087;0.050824;0.038290;0.019562;0.027138;0.043183;0.037215;0.022093;0.004364;0.001655;1.000000;0.038449;0.054955;0.583152;0.147472;0.011312;-0.052048;0.016063;0.002092;0.073080;0.046249;0.000752;0.039856;0.023821;0.009185;0.003438;0.003624;0.067174;0.002562;0.049383;0.059312;-0.037189
flag_2;0.084637;0.010292;0.003221;0.018616;0.004646;0.003716;0.021516;-0.001027;-0.021367;-0.010251;-0.009933;-0.046490;-0.072198;-0.021367;-0.000395;0.000357;0.038449;1.000000;0.071837;0.043446;0.022886;0.019598;-0.021075;0.001449;0.000186;0.007401;0.001741;0.000196;0.003308;0.001588;0.001006;0.000306;0.000323;0.003438;0.000228;-0.022347;0.002215;0.000293
flag_3;0.097015;0.038606;0.011146;0.009569;0.011230;0.006578;0.029146;0.027301;0.003999;0.001222;0.004011;-0.021297;-0.004416;-0.001285;-0.001962;0.001068;0.054955;0.071837;1.000000;0.091883;0.072612;0.131836;-0.092253;-0.016527;0.000558;0.021918;0.008278;0.000585;0.011592;0.007667;0.003011;0.000917;0.000967;0.011068;0.000683;0.004370;0.026107;0.085364
flag_4;0.028809;-0.011000;0.002675;-0.105365;-0.061894;-0.027964;0.160995;0.043362;0.088177;0.018078;0.023598;0.055956;0.034468;0.016243;0.004210;0.002905;0.583152;0.043446;0.091883;1.000000;0.233879;0.027182;-0.056028;0.011719;0.001537;0.039728;0.020107;-0.003439;0.019786;0.019055;-0.001528;0.002526;0.002663;0.034115;0.001883;0.038746;0.048895;-0.061934
flag_5;-0.121017;0.413724;0.118576;-0.121244;-0.056664;-0.031544;-0.016864;-0.053668;-0.086664;-0.001198;-0.001450;-0.061743;0.004523;0.036096;-0.012000;0.001317;0.147472;0.022886;0.072612;0.233879;1.000000;0.046185;-0.037144;0.042401;0.005502;-0.036657;0.051311;0.003900;-0.005276;-0.013211;-0.001887;0.010739;0.011320;0.055076;0.003788;0.002011;-0.011259;-0.006528
flag_6;0.043415;0.023848;0.010309;-0.004864;-0.013956;-0.006809;-0.002804;0.013929;0.004258;0.002192;0.004665;-0.002950;0.000354;0.002115;-0.001229;-0.003722;0.011312;0.019598;0.131836;0.027182;0.046185;1.000000;-0.043837;-0.022320;-0.000319;0.016177;0.003121;0.000526;0.008714;0.003723;-0.000288;-0.001294;-0.002030;0.004494;-0.000492;0.008993;0.014013;0.015234
flag_7;-0.027253;-0.016792;0.012426;-0.025602;-0.013919;-0.005922;-0.004047;0.022473;0.021166;0.002080;0.004550;0.039360;0.027772;0.014756;-0.001849;0.000749;-0.052048;-0.021075;-0.092253;-0.056028;-0.037144;-0.043837;1.000000;0.004479;-0.002147;0.011256;0.012214;0.002462;0.009867;0.002094;0.004483;-0.001066;-0.000690;0.016425;0.000511;0.033134;0.011837;-0.041579
flag_8;-0.049188;-0.016064;-0.003996;0.018348;0.000176;-0.001663;0.002615;-0.018645;-0.015421;-0.003069;-0.003863;-0.014268;-0.006420;-0.002248;-0.001350;-0.000369;0.016063;0.001449;-0.016527;0.011719;0.042401;-0.022320;0.004479;1.000000;0.128683;-0.004273;0.001792;-0.000202;-0.000380;-0.002646;-0.001039;-0.000316;0.007107;0.220887;-0.000236;0.000373;-0.014405;-0.043272
flag_9;-0.004087;-0.002212;-0.000514;-0.000247;-0.001282;-0.000580;-0.001635;-0.000859;-0.002354;-0.000395;-0.000497;-0.002236;-0.001026;-0.000395;-0.000174;-0.000047;0.002092;0.000186;0.000558;0.001537;0.005502;-0.000319;-0.002147;0.128683;1.000000;-0.000984;-0.000601;-0.000026;-0.000524;-0.000340;-0.000134;-0.000041;-0.000043;0.028424;-0.000030;0.000361;0.000147;-0.001901
flag_10;0.100827;-0.062588;-0.012326;0.005425;0.006290;0.001289;0.083928;0.210499;0.204912;0.016065;0.012356;-0.020698;0.017229;0.042801;-0.000148;-0.001883;0.073080;0.007401;0.021918;0.039728;-0.036657;0.016177;0.011256;-0.004273;-0.000984;1.000000;0.078315;-0.001032;0.240433;0.132881;0.078653;0.001569;0.001318;0.194557;-0.001205;0.082551;0.131695;-0.215753
flag_11;-0.003335;-0.028585;-0.001797;0.000398;0.001339;0.000867;0.042209;0.004147;0.036395;0.039957;0.039380;0.108744;0.235550;0.486051;0.006289;-0.001151;0.046249;0.001741;0.008278;0.020107;0.051311;0.003121;0.012214;0.001792;-0.000601;0.078315;1.000000;0.003355;0.040614;0.017721;0.222359;0.001556;0.001372;0.689817;0.006091;0.087526;0.013116;-0.016461
flag_12;0.001041;-0.000818;-0.000539;0.000688;0.000530;-0.000609;-0.000587;-0.002822;0.003720;0.005648;0.004195;0.001367;-0.001076;-0.000414;-0.000182;-0.000050;0.000752;0.000196;0.000585;-0.003439;0.003900;0.000526;0.002462;-0.000202;-0.000026;-0.001032;0.003355;1.000000;-0.000550;-0.000357;-0.000140;-0.000043;-0.000045;0.029812;-0.000032;-0.001543;-0.002223;-0.000948
flag_13;0.045621;-0.035498;-0.006660;-0.013349;-0.008536;-0.006709;0.035753;0.100033;0.089287;0.007730;0.008358;0.007382;0.004215;0.025652;0.000993;-0.001004;0.039856;0.003308;0.011592;0.019786;-0.005276;0.008714;0.009867;-0.000380;-0.000524;0.240433;0.040614;-0.000550;1.000000;0.046256;0.024641;-0.000862;0.001851;0.601431;0.003259;0.074181;0.062424;-0.103503
flag_14;0.032668;-0.019132;-0.004208;0.009434;0.007913;0.004754;0.017320;0.066348;0.069248;0.000070;0.002848;-0.008299;0.001516;0.011208;0.000615;-0.000652;0.023821;0.001588;0.007667;0.019055;-0.013211;0.003723;0.002094;-0.002646;-0.000340;0.132881;0.017721;-0.000357;0.046256;1.000000;0.036131;-0.000560;-0.000590;0.039648;-0.000417;0.022922;0.044923;-0.063516
flag_15;0.001464;-0.011379;-0.002775;-0.007606;-0.003496;-0.000306;0.004944;0.007962;0.006711;0.009410;0.008997;0.033631;0.063876;0.118274;-0.000937;-0.000256;0.009185;0.001006;0.003011;-0.001528;-0.001887;-0.000288;0.004483;-0.001039;-0.000134;0.078653;0.222359;-0.000140;0.024641;0.036131;1.000000;-0.000220;-0.000232;0.153387;-0.000164;0.030109;0.004410;-0.012831
flag_16;-0.000585;-0.002620;-0.000845;0.005460;0.004813;0.005649;0.001885;0.004050;0.001069;-0.000649;-0.000817;-0.000994;-0.001687;-0.000649;-0.000285;-0.000078;0.003438;0.000306;0.000917;0.002526;0.010739;-0.001294;-0.001066;-0.000316;-0.000041;0.001569;0.001556;-0.000043;-0.000862;-0.000560;-0.000220;1.000000;0.948680;0.046707;-0.000050;-0.000187;0.006842;-0.001013
flag_17;-0.000166;-0.002869;-0.000891;0.006030;0.004344;0.005259;0.001367;0.004097;0.001365;-0.000684;-0.000861;-0.000524;-0.000160;-0.000684;-0.000301;-0.000082;0.003624;0.000323;0.000967;0.002663;0.011320;-0.002030;-0.000690;0.007107;-0.000043;0.001318;0.001372;-0.000045;0.001851;-0.000590;-0.000232;0.948680;1.000000;0.049234;-0.000053;-0.000432;0.006399;-0.000974
flag_18;0.007855;-0.049508;-0.007506;0.002421;0.000584;-0.001799;0.054440;0.058285;0.079959;0.033907;0.034089;0.079540;0.161041;0.334111;0.004112;-0.001669;0.067174;0.003438;0.011068;0.034115;0.055076;0.004494;0.016425;0.220887;0.028424;0.194557;0.689817;0.029812;0.601431;0.039648;0.153387;0.046707;0.049234;1.000000;0.006108;0.109516;0.043284;-0.092384
flag_19;-0.000079;-0.001715;-0.000630;0.000275;-0.001570;-0.000711;0.001945;0.003459;0.002995;0.009228;0.006923;0.005191;0.002801;0.004593;-0.000213;-0.000058;0.002562;0.000228;0.000683;0.001883;0.003788;-0.000492;0.000511;-0.000236;-0.000030;-0.001205;0.006091;-0.000032;0.003259;-0.000417;-0.000164;-0.000050;-0.000053;0.006108;1.000000;0.002686;0.001629;-0.001368
flag_20;-0.007396;-0.073598;0.004438;-0.051949;-0.021105;-0.008782;-0.007311;0.038268;-0.085193;-0.000016;0.027936;0.205413;0.130245;0.074517;0.001410;0.011214;0.049383;-0.022347;0.004370;0.038746;0.002011;0.008993;0.033134;0.000373;0.000361;0.082551;0.087526;-0.001543;0.074181;0.022922;0.030109;-0.000187;-0.000432;0.109516;0.002686;1.000000;0.051767;-0.067294
flag_21;-0.054327;-0.066130;0.004721;-0.067920;-0.020632;-0.008746;-0.008104;0.628492;0.138061;0.011710;0.018809;-0.023007;-0.002833;0.006125;-0.003296;-0.000659;0.059312;0.002215;0.026107;0.048895;-0.011259;0.014013;0.011837;-0.014405;0.000147;0.131695;0.013116;-0.002223;0.062424;0.044923;0.004410;0.006842;0.006399;0.043284;0.001629;0.051767;1.000000;-0.326937
label_flag;0.542055;0.035392;-0.031495;0.060018;0.032100;0.017910;-0.032377;-0.523003;-0.237130;-0.011199;-0.004334;0.137053;0.040697;0.004367;0.001964;0.002065;-0.037189;0.000293;0.085364;-0.061934;-0.006528;0.015234;-0.041579;-0.043272;-0.001901;-0.215753;-0.016461;-0.000948;-0.103503;-0.063516;-0.012831;-0.001013;-0.000974;-0.092384;-0.001368;-0.067294;-0.326937;1.000000